,,,Probabilité de détection à la vue pour une hauteur d’herbe de:,,,,,,Probabilité de détection à la fauche pour une hauteur d’herbe de:,,
taxon,effet sur la vue,Significativité de l’effet,1 cm,31 cm,62 cm,,effet sur la fauche,Significativité de l’effet,1 cm,31 cm,62 cm
Anonconotus baracunensis occidentalis,+,FALSE,0.180231431665464,0.236050116006917,0.328502096972254,,-,FALSE,0.043625961614157,0.031868777303814,0.028076125545871
Anonconotus ghiliani,-,TRUE,0.496518017338744,0.197194383166889,0.074743763486055,,-,FALSE,0.054910738848132,0.040699018277579,0.036292581627011
Anonconotus mercantouri,-,FALSE,0.512026223794129,0.382909433781881,0.322970706103244,,-,FALSE,0.089011861949237,0.061648500152469,0.050722497792128
Antaxius pedestris,-,FALSE,0.204542832396145,0.129734045076125,0.104283397066874,,-,FALSE,0.042145208534426,0.027996348154681,0.022628352897221
Arcyptera fusca,+,FALSE,0.388878188131943,0.394408365229996,0.403028699763016,,-,FALSE,0.082683956404842,0.047680547570391,0.031514340763006
Bicolorana bicolor,+,FALSE,0.274445982638507,0.373730093444224,0.493577659075293,,-,FALSE,0.098629391085786,0.058626621732293,0.040535284260785
Calliptamus italicus,-,FALSE,0.143611806940121,0.098981348503907,0.119278270461894,,-,FALSE,0.024340325761853,0.01598573723525,0.01300637331055
Calliptamus siciliae,+,FALSE,0.493659468844945,0.565427159881842,0.628138380852486,,-,FALSE,0.232004326832896,0.138716136095305,0.088894898818159
Chorthippus apricarius,+,TRUE,0.549989501140184,0.676688890720581,0.777709749020393,,-,FALSE,0.525442768729982,0.400530766455382,0.294234797055283
Chorthippus biguttulus,+,FALSE,0.434171448217782,0.505117341156694,0.572978053658975,,-,FALSE,0.254893128701269,0.202343664990412,0.171303659948703
Chorthippus brunneus brunneus,+,FALSE,0.165032606671192,0.177078230325791,0.241815135879934,,-,FALSE,0.043325628091575,0.029885130229554,0.024925511026766
Chorthippus dorsatus,+,TRUE,0.662346579771585,0.946993860161456,0.991639819323733,,-,FALSE,0.751295597756906,0.668295015924575,0.566686540563337
Chorthippus saulcyi daimei,-,TRUE,0.894836819757688,0.629750682077653,0.256243802480941,,-,FALSE,0.576443003628462,0.496397881624135,0.420156791704383
Chorthippus vagans vagans,+,TRUE,0.46828384645092,0.807420970232466,0.944193730672145,,-,FALSE,0.301251172796116,0.197532080404471,0.136489226217883
Decticus verrucivorus verrucivorus,-,FALSE,0.289758932406375,0.242571894641797,0.210274070883121,,-,FALSE,0.035891038955603,0.025808171658369,0.022289614956294
Depressotetrix depressa,-,FALSE,0.271427289752549,0.134361012998583,0.113431745015023,,-,FALSE,0.100705595034384,0.066801628557274,0.051495271502549
Ephippiger terrestris,+,FALSE,0.517889555912432,0.555613410896559,0.591243470639536,,-,FALSE,0.216668707195362,0.171272061753608,0.141637687116262
Euchorthippus declivus,+,FALSE,0.761892976798803,0.776262498078348,0.784990729892976,,-,FALSE,0.64995799194907,0.559313712983687,0.464281187675475
Euchorthippus elegantulus,+,TRUE,0.432017851552766,0.795992816647007,0.939270183428942,,-,FALSE,0.364151381005855,0.288021950224921,0.236362983978139
Eupholidoptera chabrieri,+,TRUE,0.029467871904794,0.088538132670669,0.319225013237262,,-,FALSE,0.009123749169258,0.005296699903031,0.003846271712706
Euthystira brachyptera,+,TRUE,0.130422949624162,0.470876736653215,0.842958156445954,,-,FALSE,0.070434942338068,0.041686348221191,0.029058225457789
Gomphocerus sibiricus sibiricus,-,FALSE,0.726228640174993,0.505208687969329,0.323896619753105,,-,FALSE,0.283130353132137,0.222998583690491,0.19007598727166
Gryllus campestris,-,FALSE,0.436099046073919,0.211886086692046,0.144549463633805,,-,FALSE,0.084673625510567,0.06391946924668,0.057481205928983
Leptophyes punctatissima,+,FALSE,0.056800822979468,0.13319069375166,0.322145422777272,,-,FALSE,0.061197261212449,0.051992769025442,0.052586602168521
Metrioptera saussuriana,-,FALSE,0.53606125878687,0.361450486502218,0.255432176839172,,-,FALSE,0.085634668193181,0.057770476112027,0.046012754998647
Myrmeleotettix maculatus,-,FALSE,0.610102448638378,0.220889689627765,0.094736698451155,,-,FALSE,0.231324266541247,0.15745699073586,0.11751629405459
Nemobius sylvestris,+,FALSE,0.036542835282452,0.078976238135858,0.189953101289899,,-,FALSE,0.013634917045047,0.009536270078783,0.008357321763598
Oecanthus pellucens,+,FALSE,0.136176392225871,0.221039542015251,0.370167525164303,,-,FALSE,0.356857523219589,0.316234589579181,0.293073258156148
Oedipoda caerulescens caerulescens,-,FALSE,0.402952789117889,0.123929703927499,0.048960125628505,,-,FALSE,0.025512008558767,0.017721878822736,0.01581699882358
Oedipoda germanica,-,FALSE,0.467835856514584,0.25250306711396,0.132257715201448,,-,FALSE,0.049957393650988,0.030193122493138,0.02239612069459
Omocestus haemorrhoidalis,-,TRUE,0.550572269073093,0.323783116438099,0.180881525907498,,-,FALSE,0.326038005965545,0.28360241597215,0.259995133020118
Omocestus raymondi raymondi,+,TRUE,0.221528276871195,0.534021609519972,0.788215754031423,,-,FALSE,0.06667893927252,0.044156929600394,0.03474187160031
Omocestus rufipes,+,FALSE,0.601518367636733,0.778920189417628,0.853830514684789,,-,FALSE,0.276079306570557,0.210438987411137,0.172840836928756
Omocestus viridulus,-,FALSE,0.455386414461835,0.363739449063469,0.290552503020127,,-,FALSE,0.255244348056209,0.178685598578568,0.133870777240111
Pezotettix giornae,+,FALSE,0.646316125863456,0.841878091004706,0.927250810249394,,-,FALSE,0.494895699963913,0.469360383784108,0.446907443438133
Pholidoptera aptera,+,TRUE,0.072150360981846,0.215791125399457,0.544112551528952,,-,FALSE,0.026166905003171,0.015566051914467,0.011454159547332
Pholidoptera fallax,+,TRUE,0.081186706181164,0.259684250908289,0.646522273916426,,-,FALSE,0.034280639449423,0.023034954766325,0.018830498409193
Pholidoptera griseoaptera,+,FALSE,0.098324590025661,0.205809755805117,0.409063015392282,,-,FALSE,0.028556798886188,0.018761253223962,0.015146148889097
Platycleis albopunctata,-,FALSE,0.3936259243265,0.317959525986039,0.25918586069261,,-,FALSE,0.068261597576829,0.0378803592435,0.024640658877161
Podisma dechambrei,-,TRUE,0.655953297606304,0.3562003153733,0.155287234333624,,-,FALSE,0.055286134040236,0.037690614981385,0.030837434876397
Podisma pedestris,+,FALSE,0.154508772345758,0.174881077430002,0.272486453122529,,-,FALSE,0.042618386870623,0.028562322774994,0.023415191450494
Polysarcus denticauda,+,FALSE,0.130764768918756,0.138320254391213,0.234059211018969,,-,FALSE,0.027866303905351,0.018284146251146,0.014535895040581
Pseudochorthippus parallelus,+,TRUE,0.582386559867837,0.776916608797056,0.891469198593077,,-,FALSE,0.583041916666906,0.520058063326892,0.457889686728827
Psophus stridulus,+,FALSE,0.274250460192712,0.407745988763875,0.550704831362007,,-,FALSE,0.078475488475862,0.047745782945012,0.034800612125831
Roeseliana roeselii,+,TRUE,0.270088719776139,0.503202879019111,0.726511941991509,,-,FALSE,0.097165060958257,0.059267492809791,0.041839245193657
Sepiana sepium,+,FALSE,0.293301288949885,0.381942795613011,0.525250285365027,,-,FALSE,0.103156490167242,0.068033989778479,0.050654778712266
Stauroderus scalaris,+,FALSE,0.711092198642207,0.771247871885059,0.818328437608493,,-,FALSE,0.375497926083213,0.293599143220749,0.230295964564497
Stenobothrus cotticus,-,FALSE,0.615467231561008,0.457703446429022,0.360852872236791,,-,FALSE,0.239473111223399,0.170089141362013,0.132593093034101
Stenobothrus lineatus,-,FALSE,0.651596954227506,0.579675645614644,0.503378358313563,,-,FALSE,0.224418104504492,0.154384669494272,0.111324099499292
Stenobothrus nigromaculatus,-,TRUE,0.775022658282824,0.368915128733448,0.101342604460878,,-,FALSE,0.322202259955613,0.218275503765832,0.157173763954533
Stenobothrus rubicundulus,+,FALSE,0.165716465534353,0.172288989190696,0.247297712947339,,-,FALSE,0.040525575667369,0.028197281943068,0.024372606997587
Tessellana tessellata,+,FALSE,0.334844958936819,0.519543660540279,0.673160196942872,,-,FALSE,0.183749539139107,0.130408232883095,0.104310048563487
Tettigonia cantans,+,TRUE,0.151867109928257,0.451760593148692,0.78315202018808,,-,FALSE,0.068033538116872,0.051681722327847,0.046943416954283
Tettigonia viridissima,+,FALSE,0.102309780044996,0.343575508573472,0.694231259617359,,-,FALSE,0.043009179189353,0.030874587347326,0.02754192002744
Tylopsis lilifolia,-,FALSE,0.825101048895495,0.764690266026174,0.63036154343518,,-,FALSE,0.41884833568984,0.317606722122727,0.243861668183846
Yersinella beybienkoi,+,TRUE,0.325341483534762,0.697709409224598,0.909739850712147,,-,FALSE,0.108797416089145,0.092640646119095,0.090955163474269
