species,stridu
Anonconotus ghiliani,0
Anonconotus mercantouri,0
Anonconotus occidentalis,0
Antaxius pedestris,0
Arcyptera fusca,1
Bicolorana bicolor,1
Calliptamus italicus,0
Calliptamus siciliae,0
Chorthippus dorsatus,1
Decticus verrucivorus verrucivorus,1
Depressotetrix depressa,0
Ephippiger terrestris,1
Euchorthippus declivus,1
Euchorthippus elegantulus,1
Eupholidoptera chabrieri,1
Euthystira brachyptera,1
Gomphocerippus apricarius,1
Gomphocerippus biguttulus,1
Gomphocerippus brunneus brunneus,1
Gomphocerippus saulcyi daimei,1
Gomphocerippus vagans vagans,1
Gomphocerus sibiricus sibiricus,1
Gryllus campestris,0
Leptophyes punctatissima,0
Metrioptera saussuriana,1
Myrmeleotettix maculatus,1
Nemobius sylvestris,1
Oecanthus pellucens,0
Oedipoda caerulescens caerulescens,0
Oedipoda germanica,0
Omocestus haemorrhoidalis,1
Omocestus raymondi raymondi,1
Omocestus rufipes,1
Omocestus viridulus,1
Pezotettix giornae,0
Pholidoptera aptera,1
Pholidoptera fallax,1
Pholidoptera griseoaptera,1
Platycleis albopunctata,1
Podisma dechambrei,0
Podisma pedestris,0
Polysarcus denticauda,1
Pseudochorthippus parallelus,1
Psophus stridulus,1
Roeseliana roeselii,1
Sepiana sepium,1
Stauroderus scalaris,1
Stenobothrus cotticus,1
Stenobothrus lineatus,1
Stenobothrus nigromaculatus,1
Stenobothrus rubicundulus,1
Tessellana tessellata,0
Tettigonia cantans,1
Tettigonia viridissima,1
Tylopsis lilifolia,1
Yersinella beybienkoi,0
