id_releve,X,Y,echantillonnage,provenance,parc,Periode
28,6.762313,44.226274,2018,gueguen,pnm,2
38,6.759913,44.228012,2018,gueguen,pnm,2
48,6.760746,44.217263,2018,gueguen,pnm,2
58,6.762115,44.215974,2018,gueguen,pnm,2
68,6.761105,44.211258,2018,gueguen,pnm,2
78,6.757117,44.209128,2018,gueguen,pnm,2
88,6.769368,44.216618,2018,gueguen,pnm,2
98,6.769105,44.219046,2018,gueguen,pnm,2
105,6.757134,44.186052,2018,gueguen,pnm,2
108,6.768334,44.221578,2018,gueguen,pnm,2
115,6.760691,44.184884,2018,gueguen,pnm,2
118,6.768557,44.224469,2018,gueguen,pnm,2
123,6.752044,44.241922,2018,gueguen,pnm,2
133,6.754881,44.242653,2018,gueguen,pnm,2
143,6.753355,44.240657,2018,gueguen,pnm,2
165,6.748366,44.229849,2018,gueguen,pnm,2
175,6.745142,44.219561,2018,gueguen,pnm,2
185,6.747346,44.220358,2018,gueguen,pnm,2
204,6.746427,44.201388,2018,gueguen,pnm,2
214,6.745148,44.197619,2018,gueguen,pnm,2
225,6.7519,44.187495,2018,gueguen,pnm,2
245,6.749071,44.174932,2018,gueguen,pnm,2
336,6.734836,44.252333,2018,gueguen,pnm,2
345,6.741625,44.250776,2018,gueguen,pnm,2
355,6.740357,44.24718,2018,gueguen,pnm,2
363,6.748531,44.23921,2018,gueguen,pnm,2
376,6.761585,44.232204,2018,gueguen,pnm,2
386,6.771559,44.228157,2018,gueguen,pnm,2
396,6.776933,44.226033,2018,gueguen,pnm,2
406,6.78414,44.221862,2018,gueguen,pnm,2
416,6.78367,44.22299,2018,gueguen,pnm,2
425,6.786914,44.223009,2018,gueguen,pnm,2
435,6.792485,44.220681,2018,gueguen,pnm,2
445,6.796805,44.22003,2018,gueguen,pnm,2
455,6.803597,44.221451,2018,gueguen,pnm,2
593,6.758428,44.206055,2018,gueguen,pnm,2
603,6.760429,44.208361,2018,gueguen,pnm,2
625,6.698425,44.172915,2018,gueguen,pnm,2
635,6.700679,44.175454,2018,gueguen,pnm,2
645,6.703592,44.177861,2018,gueguen,pnm,2
655,6.709841,44.180374,2018,gueguen,pnm,2
665,6.714734,44.180186,2018,gueguen,pnm,2
675,6.719887,44.180273,2018,gueguen,pnm,2
685,6.732537,44.180399,2018,gueguen,pnm,2
695,6.740428,44.180217,2018,gueguen,pnm,2
A104,7.472082,43.924639,2018,gueguen,pnm,2
A105,7.457062,43.997718,2018,gueguen,pnm,2
A114,7.467834,43.928922,2018,gueguen,pnm,2
A115,7.460894,43.995381,2018,gueguen,pnm,2
A124,7.463512,43.932652,2018,gueguen,pnm,2
A125,7.475483,43.987549,2018,gueguen,pnm,2
A134,7.459106,43.934554,2018,gueguen,pnm,2
A135,7.484167,43.983575,2018,gueguen,pnm,2
A144,7.457236,43.935328,2018,gueguen,pnm,2
A145,7.524439,43.982045,2018,gueguen,pnm,2
A154,7.454315,43.936929,2018,gueguen,pnm,2
A155,7.527558,43.979126,2018,gueguen,pnm,2
A164,7.428579,43.946172,2018,gueguen,pnm,2
A174,7.43539,43.949949,2018,gueguen,pnm,2
A184,7.438842,43.95321,2018,gueguen,pnm,2
A194,7.440883,43.955393,2018,gueguen,pnm,2
A204,7.443291,43.95765,2018,gueguen,pnm,2
A214,7.44731,43.958881,2018,gueguen,pnm,2
A75,7.431493,43.999544,2018,gueguen,pnm,2
A85,7.431656,44.000474,2018,gueguen,pnm,2
A95,7.438959,43.999262,2018,gueguen,pnm,2
G103,7.369198,44.067225,2018,gueguen,pnm,2
G113,7.364501,44.064097,2018,gueguen,pnm,2
G13,7.383124,44.057273,2018,gueguen,pnm,2
G144,7.373258,44.072447,2018,gueguen,pnm,2
G154,7.37075,44.075228,2018,gueguen,pnm,2
G164,7.368012,44.078542,2018,gueguen,pnm,2
G174,7.36566,44.078243,2018,gueguen,pnm,2
G23,7.380817,44.058325,2018,gueguen,pnm,2
G33,7.380105,44.059291,2018,gueguen,pnm,2
G43,7.379213,44.059871,2018,gueguen,pnm,2
G53,7.378233,44.060499,2018,gueguen,pnm,2
G63,7.37701,44.061093,2018,gueguen,pnm,2
G73,7.37499,44.064313,2018,gueguen,pnm,2
G83,7.371218,44.06636,2018,gueguen,pnm,2
G93,7.371889,44.067619,2018,gueguen,pnm,2
